date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_score,away_team_score,country,neutral_location,home_team_result
1993-12-16,Mexico,Brazil,17,4,0,0,0,1,Mexico,False,Lose
1993-12-18,USA,Germany,27,3,0,0,0,3,USA,False,Lose
1993-12-22,Mexico,Germany,17,3,0,0,0,0,Mexico,False,Draw
1993-12-31,Ghana,Tunisia,37,32,0,0,1,1,Ghana,False,Draw
1994-01-19,Spain,Portugal,5,20,0,0,2,2,Spain,False,Draw
1994-01-19,Tunisia,Netherlands,32,7,0,0,2,2,Tunisia,False,Draw
1994-01-22,USA,Switzerland,22,12,0,0,1,1,USA,False,Draw
1994-01-26,Mexico,Switzerland,16,12,0,0,1,5,USA,True,Lose
1994-02-09,Spain,Poland,5,28,0,0,1,1,Spain,False,Draw
1994-03-05,USA,Korea Republic,21,42,0,0,1,0,USA,False,Win
1994-03-09,England,Denmark,12,4,0,0,1,0,England,False,Win
1994-03-12,USA,Korea Republic,21,42,0,0,1,1,USA,False,Draw
1994-03-23,Brazil,Argentina,2,8,0,0,2,0,Brazil,False,Win
1994-03-23,Spain,Croatia,6,125,0,0,0,2,Spain,False,Lose
1994-03-31,Ghana,Senegal,31,58,0,0,1,0,Tunisia,True,Win
1994-04-13,Poland,Saudi Arabia,24,36,0,0,1,0,France,True,Win
1994-04-18,Tunisia,Saudi Arabia,32,36,0,0,2,0,Tunisia,False,Win
1994-04-20,Argentina,Morocco,10,26,0,0,3,1,Argentina,False,Win
1994-05-01,Korea Republic,Cameroon,40,27,0,0,2,2,Korea Republic,False,Draw
1994-05-03,Korea Republic,Cameroon,40,27,0,0,2,1,Korea Republic,False,Win
1994-05-22,Japan,Australia,54,44,0,0,1,1,Japan,False,Draw
1994-05-25,Ecuador,Argentina,47,6,0,0,1,0,Ecuador,False,Win
1994-05-25,USA,Saudi Arabia,23,35,0,0,0,0,USA,False,Draw
1994-05-26,Australia,France,44,17,0,0,0,1,Japan,True,Lose
1994-05-29,Japan,France,54,17,0,0,1,4,Japan,False,Lose
1994-06-01,Canada,Morocco,58,30,0,0,1,1,Canada,False,Draw
1994-06-04,Croatia,Argentina,102,6,0,0,0,0,Croatia,False,Draw
1994-06-04,USA,Mexico,23,13,0,0,1,0,USA,False,Win
1994-06-05,Canada,Brazil,58,1,0,0,1,1,Canada,False,Draw
1994-06-05,Ecuador,Korea Republic,47,37,0,0,2,1,USA,True,Win
1994-06-08,Canada,Germany,58,2,0,0,0,2,Canada,False,Lose
1994-06-10,Canada,Spain,58,9,0,0,0,2,Canada,False,Lose
1994-06-12,Canada,Netherlands,58,11,0,0,0,3,Canada,False,Lose
1994-06-17,Spain,Korea Republic,5,37,0,0,2,2,USA,True,Draw
1994-06-18,USA,Switzerland,23,12,0,0,1,1,USA,False,Draw
1994-06-19,Belgium,Morocco,27,28,0,0,1,0,USA,True,Win
1994-06-20,Netherlands,Saudi Arabia,2,34,0,0,2,1,USA,True,Win
1994-06-21,Germany,Spain,1,5,0,0,1,1,USA,True,Draw
1994-06-24,Brazil,Cameroon,3,24,0,0,3,0,USA,True,Win
1994-06-25,Belgium,Netherlands,27,2,0,0,1,0,USA,True,Win
1994-06-25,Saudi Arabia,Morocco,34,28,0,0,2,1,USA,True,Win
1994-06-27,Germany,Korea Republic,1,37,0,0,3,2,USA,True,Win
1994-06-29,Belgium,Saudi Arabia,27,34,0,0,0,1,USA,True,Lose
1994-06-29,Morocco,Netherlands,28,2,0,0,1,2,USA,True,Lose
1994-07-02,Germany,Belgium,1,27,0,0,3,2,USA,True,Win
1994-07-02,Spain,Switzerland,5,12,0,0,3,0,USA,True,Win
1994-07-04,USA,Brazil,23,3,0,0,0,1,USA,False,Lose
1994-07-08,Japan,Ghana,52,26,0,0,3,2,Japan,False,Win
1994-07-09,Netherlands,Brazil,2,3,0,0,2,3,USA,True,Lose
1994-07-14,Japan,Ghana,52,26,0,0,2,1,Japan,False,Win
1994-09-07,England,USA,18,22,0,0,2,0,England,False,Win
1994-09-27,Japan,Australia,41,52,0,0,0,0,Japan,False,Draw
1994-10-12,Denmark,Belgium,13,19,0,0,3,1,Denmark,False,Win
1994-10-19,Saudi Arabia,USA,29,22,0,0,2,1,Saudi Arabia,False,Win
1994-11-07,Morocco,Cameroon,33,29,0,0,1,1,Morocco,False,Draw
1994-11-12,Qatar,Saudi Arabia,60,27,0,0,1,2,United Arab Emirates,True,Lose
1994-11-16,Poland,France,36,19,0,0,0,0,Poland,False,Draw
1994-11-16,Spain,Denmark,6,13,0,0,3,0,Spain,False,Win
1994-11-30,Cameroon,Ghana,28,26,0,0,0,1,South Africa,True,Lose
1994-12-08,Saudi Arabia,Poland,27,33,0,0,0,2,Saudi Arabia,False,Lose
1994-12-10,Saudi Arabia,Poland,27,33,0,0,1,2,Saudi Arabia,False,Lose
1994-12-17,Belgium,Spain,22,5,0,0,1,4,Belgium,False,Lose
1994-12-17,Saudi Arabia,Costa Rica,27,63,0,0,1,3,Saudi Arabia,False,Lose
1995-01-06,Saudi Arabia,Mexico,27,15,0,0,0,2,Saudi Arabia,False,Lose
1995-01-07,Senegal,Tunisia,50,30,0,0,0,0,Senegal,False,Draw
1995-01-08,Japan,Argentina,36,10,0,0,1,5,Saudi Arabia,True,Lose
1995-01-08,Saudi Arabia,Denmark,27,14,0,0,0,2,Saudi Arabia,False,Lose
1995-01-10,Denmark,Mexico,14,15,0,0,1,1,Saudi Arabia,True,Draw
1995-01-13,Denmark,Argentina,14,10,0,0,2,0,Saudi Arabia,True,Win
1995-01-18,Netherlands,France,6,19,0,0,0,1,Netherlands,False,Lose
1995-01-18,Spain,Uruguay,2,37,0,0,2,2,Spain,False,Draw
1995-01-26,Canada,Portugal,63,20,0,0,1,1,Canada,False,Draw
1995-02-01,Mexico,Uruguay,15,37,0,0,1,0,USA,True,Win
1995-02-15,Australia,Japan,58,36,0,0,2,1,Australia,False,Win
1995-02-21,Japan,Korea Republic,37,33,0,0,1,1,Hong Kong,True,Draw
1995-02-22,Netherlands,Portugal,8,19,0,0,0,1,Netherlands,False,Lose
1995-02-22,Spain,Germany,2,5,0,0,0,0,Spain,False,Draw
1995-02-26,Japan,Korea Republic,37,33,0,0,2,2,Hong Kong,True,Draw
1995-03-01,Morocco,Senegal,35,51,0,0,2,0,Morocco,False,Win
1995-03-25,USA,Uruguay,22,36,0,0,2,2,USA,False,Draw
1995-03-29,England,Uruguay,20,36,0,0,0,0,England,False,Draw
1995-03-29,Spain,Belgium,2,23,0,0,1,1,Spain,False,Draw
1995-04-22,Belgium,USA,21,22,0,0,1,0,Belgium,False,Win
1995-04-26,Germany,Wales,4,49,0,0,1,1,Germany,False,Draw
1995-05-28,Japan,Ecuador,35,62,0,0,3,0,Japan,False,Win
1995-05-28,USA,Costa Rica,27,72,0,0,1,2,USA,False,Lose
1995-06-03,England,Japan,21,35,0,0,2,1,England,False,Win
1995-06-05,Korea Republic,Costa Rica,37,72,0,0,1,0,Korea Republic,False,Win
1995-06-06,Brazil,Japan,1,35,0,0,3,0,England,True,Win
1995-06-10,Costa Rica,Ecuador,72,62,0,0,1,2,Korea Republic,True,Lose
1995-06-11,England,Brazil,21,1,0,0,1,3,England,False,Lose
1995-06-18,Australia,Ghana,58,27,0,0,2,1,Australia,False,Win
1995-06-18,USA,Mexico,34,7,0,0,4,0,USA,False,Win
1995-06-21,Australia,Ghana,58,27,0,0,1,0,Australia,False,Win
1995-06-23,Switzerland,Germany,14,5,0,0,1,2,Switzerland,False,Lose
1995-06-24,Australia,Ghana,58,27,0,0,0,1,Australia,False,Lose
1995-06-30,Argentina,Australia,10,58,0,0,2,0,Argentina,False,Win
1995-07-07,Brazil,Ecuador,1,76,0,0,1,0,Uruguay,True,Win
1995-07-13,Uruguay,Mexico,36,7,0,0,1,1,Uruguay,False,Draw
1995-07-14,Argentina,USA,10,34,0,0,0,3,Uruguay,True,Lose
1995-07-15,Tunisia,Senegal,24,43,0,0,4,0,Tunisia,False,Win
1995-07-17,Brazil,Argentina,1,10,0,0,2,2,Uruguay,True,Draw
1995-07-17,USA,Mexico,34,7,0,0,0,0,Uruguay,True,Draw
1995-07-20,USA,Brazil,34,1,0,0,0,1,Uruguay,True,Lose
1995-07-23,Uruguay,Brazil,36,1,0,0,1,1,Uruguay,False,Draw
1995-08-06,Japan,Costa Rica,36,71,0,0,3,0,Japan,False,Win
1995-08-09,Japan,Brazil,36,1,0,0,1,5,Japan,False,Lose
1995-08-12,Korea Republic,Brazil,39,1,0,0,0,1,Korea Republic,False,Lose
1995-08-16,France,Poland,18,32,0,0,1,1,France,False,Draw
1995-08-23,Belgium,Germany,29,4,0,0,1,2,Belgium,False,Lose
1995-09-06,Belgium,Denmark,29,7,0,0,1,3,Belgium,False,Lose
1995-09-20,Spain,Argentina,6,9,0,0,2,1,Spain,False,Win
1995-10-08,USA,Saudi Arabia,22,29,0,0,4,3,USA,False,Win
1995-10-11,Brazil,Uruguay,1,36,0,0,2,0,Brazil,False,Win
1995-10-11,Denmark,Spain,13,6,0,0,1,1,Denmark,False,Draw
1995-10-11,Mexico,Saudi Arabia,16,29,0,0,2,1,USA,True,Win
1995-10-11,Wales,Germany,34,4,0,0,1,2,Wales,False,Lose
1995-10-24,Japan,Saudi Arabia,34,39,0,0,2,1,Japan,False,Win
1995-10-28,Japan,Saudi Arabia,34,39,0,0,2,1,Japan,False,Win
1995-10-31,Korea Republic,Saudi Arabia,48,39,0,0,1,1,Korea Republic,False,Draw
1995-11-08,Argentina,Brazil,7,1,0,0,0,1,Argentina,False,Lose
1995-11-15,England,Switzerland,22,9,0,0,3,1,England,False,Win
1995-12-12,England,Portugal,20,16,0,0,1,1,England,False,Draw
1996-01-03,Morocco,Tunisia,38,22,0,0,3,1,Morocco,False,Win
1996-01-05,Saudi Arabia,Ghana,54,29,0,0,1,1,Saudi Arabia,False,Draw
1996-01-12,Brazil,Canada,1,65,0,0,4,1,USA,True,Win
1996-01-18,USA,Brazil,19,1,0,0,0,1,USA,False,Lose
1996-01-19,Ghana,Tunisia,29,22,0,0,2,1,South Africa,True,Win
1996-01-21,Mexico,Brazil,12,1,0,0,2,0,USA,True,Win
1996-02-10,Australia,Japan,54,30,0,0,1,4,Australia,False,Lose
1996-02-14,Australia,Japan,54,30,0,0,3,0,Australia,False,Win
1996-02-18,Qatar,Ecuador,84,57,0,0,1,1,Qatar,False,Draw
1996-02-19,Japan,Poland,30,35,0,0,5,0,Hong Kong,True,Win
1996-02-21,Portugal,Germany,20,3,0,0,1,2,Portugal,False,Lose
1996-02-25,Qatar,Ecuador,85,54,0,0,1,2,Qatar,False,Lose
1996-02-28,Croatia,Poland,43,37,0,0,2,1,Croatia,False,Win
1996-03-13,Croatia,Korea Republic,43,62,0,0,3,0,Croatia,False,Win
1996-03-23,Korea Republic,Morocco,62,26,0,0,2,2,United Arab Emirates,True,Draw
1996-03-27,Belgium,France,28,7,0,0,0,2,Belgium,False,Lose
1996-03-27,Brazil,Ghana,1,16,0,0,8,2,Brazil,False,Win
1996-03-27,Germany,Denmark,3,9,0,0,2,0,Germany,False,Win
1996-04-24,England,Croatia,23,28,0,0,0,0,England,False,Draw
1996-04-24,Netherlands,Germany,11,2,0,0,0,1,Netherlands,False,Lose
1996-04-24,Switzerland,Wales,26,66,0,0,2,0,Switzerland,False,Win
1996-05-17,IR Iran,Qatar,118,84,0,0,2,0,IR Iran,False,Win
1996-05-26,Tunisia,Senegal,22,58,0,0,2,0,Tunisia,False,Win
1996-05-29,Japan,Mexico,26,12,0,0,3,2,Japan,False,Win
1996-06-01,Germany,France,2,5,0,0,0,1,Germany,False,Lose
1996-06-01,Qatar,IR Iran,81,122,0,0,0,1,Qatar,False,Lose
1996-06-02,Denmark,Ghana,11,17,0,0,1,0,Denmark,False,Win
1996-06-02,Ecuador,Argentina,38,8,0,0,2,0,Ecuador,False,Win
1996-06-05,Canada,Costa Rica,65,87,0,0,0,1,Canada,False,Lose
1996-06-08,England,Switzerland,24,21,0,0,1,1,England,False,Draw
1996-06-09,Denmark,Portugal,11,18,0,0,1,1,England,True,Draw
1996-06-13,Switzerland,Netherlands,21,13,0,0,0,2,England,True,Lose
1996-06-15,France,Spain,5,6,0,0,1,1,England,True,Draw
1996-06-16,Croatia,Denmark,27,11,0,0,3,0,England,True,Win
1996-06-16,USA,Mexico,14,12,0,0,2,2,USA,False,Draw
1996-06-18,England,Netherlands,24,13,0,0,4,1,England,False,Win
1996-06-19,Croatia,Portugal,27,18,0,0,0,3,England,True,Lose
1996-06-22,England,Spain,24,6,0,0,0,0,England,False,Draw
1996-06-22,France,Netherlands,5,13,0,0,0,0,England,True,Draw
1996-06-23,Germany,Croatia,2,27,0,0,2,1,England,True,Win
1996-06-26,England,Germany,24,2,0,0,1,1,England,False,Draw
1996-08-16,Ecuador,Costa Rica,32,93,0,0,1,1,Ecuador,False,Draw
1996-08-25,Japan,Uruguay,25,38,0,0,5,3,Japan,False,Win
1996-08-31,France,Mexico,3,14,0,0,2,0,France,False,Win
1996-08-31,Netherlands,Brazil,6,1,0,0,2,2,Netherlands,False,Draw
1996-09-04,Poland,Germany,55,2,0,0,0,2,Poland,False,Lose
1996-09-14,Australia,Ghana,61,19,0,0,2,0,South Africa,True,Win
1996-10-05,Wales,Netherlands,68,7,0,0,1,3,Wales,False,Lose
1996-10-09,England,Poland,12,56,0,0,2,1,England,False,Win
1996-10-09,Saudi Arabia,Australia,42,52,0,0,0,0,Saudi Arabia,False,Draw
1996-10-13,Japan,Tunisia,20,24,0,0,1,0,Japan,False,Win
1996-10-19,Qatar,Saudi Arabia,84,42,0,0,2,2,Oman,True,Draw
1996-10-23,Mexico,Ecuador,15,32,0,0,0,1,USA,True,Lose
1996-11-09,Denmark,France,6,3,0,0,1,0,Denmark,False,Win
1996-11-09,Netherlands,Wales,9,75,0,0,7,1,Netherlands,False,Win
1996-11-13,Brazil,Cameroon,1,47,0,0,2,0,Brazil,False,Win
1996-12-01,Costa Rica,USA,83,16,0,0,2,1,Costa Rica,False,Win
1996-12-11,Morocco,Croatia,27,24,0,0,2,2,Morocco,False,Draw
1996-12-11,Saudi Arabia,IR Iran,40,77,0,0,0,3,United Arab Emirates,True,Lose
1996-12-14,Belgium,Netherlands,42,10,0,0,0,3,Belgium,False,Lose
1996-12-14,Portugal,Germany,15,2,0,0,0,0,Portugal,False,Draw
1996-12-14,USA,Costa Rica,16,83,0,0,2,1,USA,False,Win
1996-12-16,Korea Republic,IR Iran,46,77,0,0,2,6,United Arab Emirates,True,Lose
1996-12-19,IR Iran,Saudi Arabia,83,37,0,0,0,0,United Arab Emirates,True,Draw
1997-01-12,Ghana,Morocco,25,27,0,0,2,2,Ghana,False,Draw
1997-01-12,Uruguay,Argentina,43,22,0,0,0,0,Uruguay,False,Draw
1997-01-19,USA,Mexico,18,11,0,0,0,2,USA,False,Lose
1997-01-22,Australia,Korea Republic,50,44,0,0,2,1,Australia,False,Win
1997-01-22,Portugal,France,13,3,0,0,0,2,Portugal,False,Lose
1997-02-05,Mexico,Ecuador,11,33,0,0,3,1,Mexico,False,Win
1997-02-12,Ecuador,Uruguay,33,43,0,0,4,0,Ecuador,False,Win
1997-02-26,Brazil,Poland,1,53,0,0,4,2,Brazil,False,Win
1997-02-26,France,Netherlands,3,9,0,0,2,1,France,False,Win
1997-03-02,Mexico,Canada,11,48,0,0,4,0,Mexico,False,Win
1997-03-09,Costa Rica,Cameroon,66,59,0,0,5,0,Costa Rica,False,Win
1997-03-16,Costa Rica,Mexico,66,11,0,0,0,0,Costa Rica,False,Draw
1997-03-16,USA,Canada,22,48,0,0,3,0,USA,False,Win
1997-03-23,Costa Rica,USA,66,22,0,0,3,2,Costa Rica,False,Win
1997-03-29,Croatia,Denmark,25,4,0,0,1,1,Croatia,False,Draw
1997-03-29,England,Mexico,12,11,0,0,2,0,England,False,Win
1997-03-29,Wales,Belgium,82,44,0,0,1,2,Wales,False,Lose
1997-04-20,USA,Mexico,21,12,0,0,2,2,USA,False,Draw
1997-04-30,Argentina,Ecuador,19,35,0,0,2,1,Argentina,False,Win
1997-04-30,Brazil,Mexico,1,12,0,0,4,0,USA,True,Win
1997-05-21,Japan,Korea Republic,18,36,0,0,1,1,Japan,False,Draw
1997-05-31,Poland,England,57,13,0,0,0,2,Poland,False,Lose
1997-06-01,Canada,Costa Rica,52,53,0,0,1,0,Canada,False,Win
1997-06-03,France,Brazil,4,1,0,0,1,1,France,False,Draw
1997-06-07,France,England,4,13,0,0,0,1,France,False,Lose
1997-06-07,Morocco,Ghana,19,35,0,0,1,0,Morocco,False,Win
1997-06-08,Japan,Croatia,18,28,0,0,4,3,Japan,False,Win
1997-06-10,England,Brazil,13,1,0,0,0,1,France,True,Lose
1997-06-11,Argentina,Ecuador,21,40,0,0,0,0,Bolivia,True,Draw
1997-06-13,Brazil,Costa Rica,1,53,0,0,5,0,Bolivia,True,Win
1997-06-14,Korea Republic,Ghana,36,35,0,0,3,0,Korea Republic,False,Win
1997-06-16,Brazil,Mexico,1,12,0,0,3,2,Bolivia,True,Win
1997-06-19,Mexico,Costa Rica,12,53,0,0,1,1,Bolivia,True,Draw
1997-06-22,Ecuador,Mexico,38,12,0,0,1,1,Bolivia,True,Draw
1997-07-27,Morocco,Senegal,15,65,0,0,3,0,Morocco,False,Win
1997-08-07,USA,Ecuador,26,30,0,0,0,1,USA,False,Lose
1997-08-10,Korea Republic,Brazil,34,1,0,0,1,2,Korea Republic,False,Lose
1997-08-13,Japan,Brazil,17,1,0,0,0,3,Japan,False,Lose
1997-08-17,Canada,IR Iran,47,57,0,0,0,1,Canada,False,Lose
1997-09-06,Germany,Portugal,4,30,0,0,1,1,Germany,False,Draw
1997-09-06,Netherlands,Belgium,6,38,0,0,3,1,Netherlands,False,Win
1997-09-07,USA,Costa Rica,28,56,0,0,1,0,USA,False,Win
1997-09-10,Brazil,Ecuador,1,29,0,0,4,2,Brazil,False,Win
1997-09-10,Denmark,Croatia,3,33,0,0,3,1,Denmark,False,Win
1997-09-19,IR Iran,Saudi Arabia,53,38,0,0,1,1,IR Iran,False,Draw
1997-09-28,Japan,Korea Republic,18,35,0,0,1,2,Japan,False,Lose
1997-10-03,IR Iran,Qatar,53,85,0,0,3,0,IR Iran,False,Win
1997-10-09,Brazil,Morocco,1,15,0,0,2,0,Brazil,False,Win
1997-10-11,Belgium,Wales,48,98,0,0,3,2,Belgium,False,Win
1997-10-11,Saudi Arabia,Qatar,38,85,0,0,1,0,Saudi Arabia,False,Win
1997-10-12,Argentina,Uruguay,10,47,0,0,0,0,Argentina,False,Draw
1997-10-12,Canada,Mexico,59,11,0,0,2,2,Canada,False,Draw
1997-10-24,Saudi Arabia,IR Iran,37,49,0,0,1,0,Saudi Arabia,False,Win
1997-11-01,Korea Republic,Japan,34,20,0,0,0,2,Korea Republic,False,Lose
1997-11-02,Mexico,USA,10,35,0,0,0,0,Mexico,False,Draw
1997-11-07,Qatar,IR Iran,96,49,0,0,2,0,Qatar,False,Win
1997-11-09,Canada,USA,62,35,0,0,0,3,Canada,False,Lose
1997-11-09,Mexico,Costa Rica,10,56,0,0,3,3,Mexico,False,Draw
1997-11-11,Brazil,Wales,1,98,0,0,3,0,Brazil,False,Win
1997-11-12,Qatar,Saudi Arabia,96,37,0,0,0,1,Qatar,False,Lose
1997-11-15,England,Cameroon,7,44,0,0,2,0,England,False,Win
1997-11-16,Costa Rica,Canada,56,62,0,0,3,1,Costa Rica,False,Win
1997-11-16,Japan,IR Iran,20,49,0,0,3,2,Malaysia,True,Win
1997-11-16,Uruguay,Ecuador,52,31,0,0,5,3,Uruguay,False,Win
1997-11-22,IR Iran,Australia,50,32,0,0,1,1,IR Iran,False,Draw
1997-11-29,Australia,IR Iran,32,50,0,0,2,2,Australia,False,Draw
1997-12-12,Mexico,Australia,11,32,0,0,1,3,Saudi Arabia,True,Lose
1997-12-12,Saudi Arabia,Brazil,34,1,0,0,0,3,Saudi Arabia,False,Lose
1997-12-14,Australia,Brazil,32,1,0,0,0,0,Saudi Arabia,True,Draw
1997-12-14,Saudi Arabia,Mexico,34,11,0,0,0,5,Saudi Arabia,False,Lose
1997-12-16,Brazil,Mexico,1,11,0,0,3,2,Saudi Arabia,True,Win
1997-12-16,Saudi Arabia,Australia,34,32,0,0,1,0,Saudi Arabia,False,Win
1997-12-19,Uruguay,Australia,43,32,0,0,0,1,Saudi Arabia,True,Lose
1997-12-21,Brazil,Australia,1,32,0,0,6,0,Saudi Arabia,True,Win
1998-01-28,France,Spain,6,11,0,0,1,0,France,False,Win
1998-02-07,USA,Costa Rica,26,51,0,0,2,1,USA,False,Win
1998-02-09,Ghana,Tunisia,57,23,0,0,2,0,Burkina Faso,True,Win
1998-02-10,USA,Brazil,26,1,0,0,1,0,USA,False,Win
1998-02-11,Australia,Korea Republic,35,27,0,0,1,0,Australia,False,Win
1998-02-15,Australia,Japan,35,14,0,0,0,3,Australia,False,Lose
1998-02-15,USA,Mexico,26,5,0,0,0,1,USA,False,Lose
1998-02-21,USA,Netherlands,12,25,0,0,0,2,USA,False,Lose
1998-02-22,Saudi Arabia,Germany,32,2,0,0,0,3,Saudi Arabia,False,Lose
1998-02-24,Mexico,Netherlands,4,25,0,0,2,3,USA,True,Lose
1998-02-25,Belgium,USA,41,12,0,0,2,0,Belgium,False,Win
1998-03-01,Japan,Korea Republic,9,20,0,0,2,1,Japan,False,Win
1998-03-25,Germany,Brazil,2,1,0,0,1,2,Germany,False,Lose
1998-03-25,Switzerland,England,69,5,0,0,1,1,Switzerland,False,Draw
1998-04-01,Korea Republic,Japan,24,9,0,0,2,1,Korea Republic,False,Win
1998-04-22,Croatia,Poland,23,55,0,0,4,1,Croatia,False,Win
1998-04-22,England,Portugal,5,39,0,0,3,0,England,False,Win
1998-04-29,Brazil,Argentina,1,7,0,0,0,1,Brazil,False,Lose
1998-05-23,England,Saudi Arabia,5,34,0,0,0,0,England,False,Draw
1998-05-27,Belgium,France,36,18,0,0,0,1,Morocco,True,Lose
1998-05-27,Morocco,England,13,5,0,0,0,1,Morocco,False,Lose
1998-05-27,Netherlands,Cameroon,25,49,0,0,0,0,Netherlands,False,Draw
1998-05-29,Belgium,England,36,5,0,0,0,0,Morocco,True,Draw
1998-05-29,Morocco,France,13,18,0,0,2,2,Morocco,False,Draw
1998-05-31,Japan,Mexico,12,4,0,0,1,2,Switzerland,True,Lose
1998-06-03,Croatia,IR Iran,19,42,0,0,2,0,Croatia,False,Win
1998-06-03,Saudi Arabia,Mexico,34,4,0,0,0,0,France,True,Draw
1998-06-05,Denmark,Cameroon,27,49,0,0,1,2,Denmark,False,Lose
1998-06-06,Croatia,Australia,19,32,0,0,7,0,Croatia,False,Win
1998-06-06,Tunisia,Wales,21,103,0,0,4,0,Tunisia,False,Win
1998-06-12,Saudi Arabia,Denmark,34,27,0,0,0,1,France,True,Lose
1998-06-13,Korea Republic,Mexico,20,4,0,0,1,3,France,True,Lose
1998-06-13,Netherlands,Belgium,25,36,0,0,0,0,France,True,Draw
1998-06-14,Argentina,Japan,6,12,0,0,1,0,France,True,Win
1998-06-15,England,Tunisia,5,21,0,0,2,0,France,True,Win
1998-06-15,Germany,USA,2,11,0,0,2,0,France,True,Win
1998-06-16,Brazil,Morocco,1,13,0,0,3,0,France,True,Win
1998-06-18,France,Saudi Arabia,18,34,0,0,4,0,France,False,Win
1998-06-20,Belgium,Mexico,36,4,0,0,2,2,France,True,Draw
1998-06-20,Japan,Croatia,12,19,0,0,0,1,France,True,Lose
1998-06-20,Netherlands,Korea Republic,25,20,0,0,5,0,France,True,Win
1998-06-21,USA,IR Iran,11,42,0,0,1,2,France,True,Lose
1998-06-24,France,Denmark,18,27,0,0,2,1,France,False,Win
1998-06-25,Belgium,Korea Republic,36,20,0,0,1,1,France,True,Draw
1998-06-25,Germany,IR Iran,2,42,0,0,2,0,France,True,Win
1998-06-25,Netherlands,Mexico,25,4,0,0,2,2,France,True,Draw
1998-06-26,Argentina,Croatia,6,19,0,0,1,0,France,True,Win
1998-06-29,Germany,Mexico,2,4,0,0,2,1,France,True,Win
1998-06-30,Argentina,England,6,5,0,0,2,2,France,True,Draw
1998-07-03,Brazil,Denmark,1,27,0,0,3,2,France,True,Win
1998-07-04,Germany,Croatia,2,19,0,0,0,3,France,True,Lose
1998-07-04,Netherlands,Argentina,25,6,0,0,2,1,France,True,Win
1998-07-07,Brazil,Netherlands,1,25,0,0,1,1,France,True,Draw
1998-07-08,France,Croatia,18,19,0,0,2,1,France,False,Win
1998-07-11,Netherlands,Croatia,25,19,0,0,1,2,France,True,Lose
1998-07-12,France,Brazil,18,1,0,0,3,0,France,False,Win
1998-09-02,Morocco,Senegal,16,73,0,0,2,0,Morocco,False,Win
1998-09-17,Saudi Arabia,Senegal,32,80,0,0,3,2,Saudi Arabia,False,Win
1998-10-01,Qatar,Saudi Arabia,75,32,0,0,1,3,Qatar,False,Lose
1998-10-04,Cameroon,Ghana,37,60,0,0,1,3,Cameroon,False,Lose
1998-10-10,Denmark,Wales,18,107,0,0,1,2,Denmark,False,Lose
