first_sign;second_sign;third_sign;fourth_sign;fifth_sign;sixth_sign;seventh_sign;eighth_sign;ninth_sign;tenth_sign;price_rub
85.74;2;56.57;1;27;1964;12.61;0;0;24;9575820
79.85;5;38.14;0;25;1970;13.98;0;1;3;11758467
59.38;5;74.43;1;25;2017;15.57;0;0;16;9326439
38.57;2;61.52;0;11;1991;11.64;0;1;5;7555175
26.16;3;92.84;0;30;1967;7.88;0;0;30;5529697
71.88;4;54.68;0;29;1951;16.03;1;1;15;10199807
33.43;4;11.51;0;12;1968;5.25;1;1;20;8552826
56.01;2;79.02;0;9;1992;4.82;1;0;15;8526599
46.13;2;92.2;0;14;1970;0.23;1;1;26;8900162
45.89;1;25.37;1;15;2013;3.79;1;1;5;8397533
48.3;5;50.78;0;13;1987;9.53;1;1;27;10296254
82.35;4;80.05;1;12;1960;9.22;0;1;20;11818993
47.13;5;83.02;1;20;1974;5.21;1;1;5;10472475
45.31;1;74.7;0;22;2009;9.17;1;1;30;8510135
52.58;2;50.35;1;18;1992;4.88;0;0;5;8480453
60.73;5;47.11;1;23;2017;16.04;0;1;13;10418925
90.12;2;39.13;0;10;1970;5.35;0;0;26;11253133
71.4;4;64.07;1;4;1974;7.59;1;1;18;10568103
88.76;4;62.28;0;19;1954;10.32;0;0;26;11143792
78.28;5;67.65;1;11;1994;5.59;1;0;11;12500980
77.99;4;49.29;1;8;1964;8.8;0;0;11;11806709
83.27;4;61.82;0;17;2007;6.34;0;0;1;12584424
70.69;1;23.31;0;12;1954;4.83;1;1;27;10637200
33.43;4;47.46;1;12;2013;5.59;0;1;30;9193941
65.11;3;47.92;1;25;2007;14.03;0;0;11;8286038
99.87;4;67.01;1;10;1979;16.41;1;1;28;13962312
77.95;5;34.06;1;14;2005;10.23;1;0;15;12578124
40.16;5;38.61;0;4;2015;9.68;0;0;1;7778747
66.26;5;85.72;0;22;1958;9.06;1;1;2;11104345
90.0;2;91.48;0;19;1962;10.58;0;0;19;10508649
72.26;4;63.25;0;10;1982;7.21;0;1;25;11571330
72.31;4;67.35;0;2;1952;9.18;1;0;1;10407900
77.45;5;69.25;1;9;2024;9.49;0;0;24;12259719
70.31;1;57.31;1;6;1979;7.76;1;0;7;9145651
81.87;2;67.93;1;30;1994;3.3;0;0;17;11273879
65.97;5;68.8;0;9;2022;5.25;1;0;25;12042709
76.94;1;89.43;1;23;1968;14.49;0;1;5;8238830
31.77;3;52.59;1;24;2019;11.88;0;0;19;5634594
82.81;5;78.7;1;24;1956;1.63;1;0;29;12666045
81.37;5;14.63;0;13;1988;13.94;1;1;4;11956926
73.03;3;25.38;1;14;2002;18.4;1;0;11;10059557
60.86;4;54.65;0;18;1980;4.05;1;1;15;11339133
66.9;5;59.78;0;24;1975;11.43;1;1;28;10575866
22.3;5;47.82;0;3;1955;14.41;0;1;1;7064319
85.92;5;47.66;0;20;1950;4.23;0;0;21;12505239
64.89;3;29.6;1;6;1994;14.02;1;1;1;10228193
68.52;4;71.88;1;15;2023;9.27;1;1;10;12224050
59.22;1;63.93;1;22;1967;4.97;0;0;1;7529528
79.86;5;53.26;0;21;1981;9.78;1;0;25;12115236
62.48;4;105.04;0;11;1974;8.06;0;0;30;10081986
76.08;5;72.71;0;13;2015;15.92;1;1;30;11642097
96.7;1;63.05;0;28;1971;12.27;1;0;22;10911307
40.39;5;68.28;1;7;2015;11.94;0;0;9;8565874
79.01;1;70.55;0;17;1968;3.66;1;0;6;9720201
45.58;4;65.16;0;14;1975;6.41;1;1;6;10066385
86.82;4;73.85;0;7;1962;3.89;1;1;20;13451965
93.08;1;64.48;1;9;1983;15.4;0;1;20;10660039
65.74;4;55.28;1;15;1996;10.36;0;1;3;10284535
42.87;5;47.13;1;9;1966;5.31;0;0;19;9126153
60.16;1;72.76;0;9;2004;5.69;0;1;22;10088342
59.8;5;35.7;0;22;1974;1.6;1;1;30;12038568
54.47;4;82.06;1;3;2008;10.97;1;0;28;9078643
54.64;1;87.03;0;20;2002;19.48;1;0;2;5953505
61.64;4;39.16;0;17;1967;10.0;1;0;3;9595999
74.27;2;52.62;1;17;1965;6.16;1;1;11;10451532
62.23;1;63.78;0;10;1977;5.03;0;0;21;8013807
97.75;1;45.06;0;12;1967;10.84;1;1;13;11890938
29.41;4;67.36;1;8;1967;5.05;0;0;19;7427431
65.76;2;34.55;1;1;1955;9.65;0;1;9;9183100
34.87;5;41.56;1;26;1966;9.84;0;1;25;7516495
32.11;2;61.11;1;2;1957;4.51;1;1;5;7697197
36.88;4;52.17;1;18;1960;5.91;0;1;26;8380523
82.56;3;50.65;0;11;1950;4.27;1;1;15;12319451
99.26;3;59.39;1;12;1967;20.68;1;1;11;12509568
92.08;1;38.77;0;1;1995;11.58;1;1;4;11184267
36.54;4;54.27;0;18;1998;8.51;1;0;26;7832418
33.11;1;26.31;0;6;1958;9.1;0;0;7;4408529
48.34;1;55.89;1;12;1993;0.35;1;1;19;8594321
69.7;5;44.91;0;11;2015;8.94;1;1;2;12180397
67.07;5;22.25;1;22;1980;10.45;1;1;11;11400745
75.93;1;62.64;0;13;1971;9.03;1;0;8;8781855
83.91;1;67.19;0;16;1964;8.7;1;0;20;10019282
20.15;4;70.8;0;19;2022;4.8;1;0;16;7301303
66.22;1;92.19;1;14;1995;8.48;1;1;16;9821455
53.21;2;98.99;1;18;1995;1.76;0;0;14;9334270
62.83;4;61.09;0;10;2021;5.3;1;0;16;10613723
58.11;5;63.46;1;8;1964;3.94;0;0;21;10472523
42.72;4;71.85;1;13;1971;7.21;0;0;7;8265427
44.42;3;46.6;0;14;2012;8.78;0;0;6;7690441
63.01;1;29.98;1;14;2023;4.54;0;0;29;9324097
77.49;4;71.18;1;28;1978;4.93;1;1;9;12308805
101.24;1;32.31;1;29;1986;2.86;0;1;13;12606387
57.9;3;23.23;0;13;1952;3.0;1;0;6;9146396
95.69;1;81.41;0;17;2001;7.85;1;0;6;11355946
50.75;1;66.24;0;7;1998;3.43;0;0;19;7398878
15.93;2;76.14;0;4;1982;12.84;0;0;23;3383306
26.43;1;47.64;0;2;1984;3.25;1;1;1;6913688
73.98;2;59.74;1;12;2010;6.63;1;0;1;11211499
50.67;1;89.01;1;7;2008;8.44;0;1;7;7469237
86.48;3;71.81;1;12;1952;7.24;0;1;1;11575118
71.69;3;44.41;1;7;1986;2.05;1;1;6;12171190
38.06;5;65.5;1;17;2004;16.23;0;1;21;8915787
61.26;1;31.14;1;17;1955;10.23;1;1;7;7814339
48.82;1;51.13;1;8;2008;8.41;0;0;18;6986453
64.08;3;60.37;0;23;1967;2.1;0;1;5;9970161
57.61;3;25.56;1;6;1950;1.38;0;0;21;9166474
41.72;1;57.52;1;30;2019;2.88;0;1;16;6862011
15.0;2;61.49;1;9;2018;6.43;0;1;11;6245442
60.29;3;46.81;1;11;2003;4.99;1;0;28;9950824
54.88;1;79.28;1;16;2002;5.82;1;1;28;8903511
38.78;3;38.82;0;10;2017;6.46;1;1;30;8574420
38.37;4;33.04;1;10;1954;10.68;1;1;13;7730461
43.47;1;77.47;0;26;1996;12.79;0;1;2;6574335
51.25;1;53.95;0;17;1961;3.09;0;0;25;7571673
55.99;1;45.08;0;26;1963;5.88;0;0;8;7393957
32.84;5;63.43;1;21;1964;13.49;1;0;8;7235991
60.16;3;34.15;0;12;1957;12.9;0;0;28;7507439
35.06;1;85.38;0;27;2005;4.37;1;0;15;5690994
67.32;1;85.02;1;2;1992;10.0;0;1;21;8282151
89.99;1;43.73;0;22;1972;2.39;0;1;25;11928043
63.41;5;74.57;0;17;2014;8.85;1;1;2;12468965
81.42;1;37.77;1;13;1999;0.46;1;1;23;11260895
65.49;3;40.85;0;2;2018;12.78;0;0;26;9687757
72.19;3;58.8;0;19;2020;0.27;0;0;29;12281925
15.83;1;53.73;0;17;1961;5.13;0;1;3;4998093
36.55;5;65.3;0;14;1993;8.04;0;1;28;9272099
112.62;3;76.18;1;7;1978;12.56;1;0;26;13443374
65.39;3;58.44;1;7;1987;8.04;1;0;21;10715327
70.96;3;52.91;1;18;2003;7.07;0;0;30;9302800
90.5;5;45.89;1;19;2000;14.85;1;0;22;11966058
33.83;5;58.36;1;11;1957;4.47;1;1;17;9318413
104.01;3;10.0;1;16;1962;8.25;1;1;12;13391400
91.65;3;52.1;0;11;2014;3.7;0;1;13;13486840
56.21;2;41.15;1;24;2003;0.73;1;0;16;8777517
96.97;3;66.77;0;3;1999;2.15;1;0;2;13597397
31.95;5;59.49;1;18;1974;9.02;1;1;16;8114478
84.25;4;73.81;1;27;1982;8.04;1;1;19;12623990
82.96;2;38.01;1;15;2010;7.71;1;1;24;11750374
68.42;2;53.12;0;3;2023;13.28;0;0;12;9384417
45.49;1;75.03;0;2;2001;7.71;0;0;25;6863948
76.99;5;61.13;1;4;1992;9.96;1;1;29;11984953
63.65;5;85.73;0;14;2004;12.1;0;1;8;10866132
90.85;3;85.33;1;19;2018;7.35;0;0;10;12659988
39.2;4;53.64;1;17;1966;9.09;0;1;23;7886964
69.55;2;62.01;1;17;2012;5.03;0;1;20;11678178
48.48;3;51.2;1;21;1952;23.55;0;1;25;7391025
73.94;4;37.7;0;27;1998;10.61;0;1;28;11676020
63.47;1;51.91;0;28;1985;7.43;1;0;14;7766584
64.31;3;71.23;0;23;1999;7.65;0;1;26;10705297
80.26;2;66.32;0;13;1992;7.09;1;0;11;10995015
56.35;4;80.24;1;17;1953;10.65;1;0;21;8772453
85.96;2;102.61;1;28;1991;10.2;0;1;10;11742727
95.05;5;62.15;1;5;1970;8.57;1;1;29;14083453
37.97;1;45.71;0;16;1999;10.6;1;1;7;6449870
68.22;5;16.78;0;23;2024;5.52;0;1;27;12350371
53.73;1;65.29;1;3;1976;0.75;1;0;20;8594889
70.07;4;112.49;0;25;1994;5.92;1;0;24;10669112
41.62;5;57.38;1;29;2007;13.48;0;1;20;9414060
76.82;5;22.84;0;8;1958;10.1;0;0;10;11237588
48.92;1;86.1;1;25;2024;0.12;1;0;20;8376013
40.55;3;48.7;0;5;1966;13.31;0;0;12;6154975
87.84;2;65.58;0;18;1970;21.26;1;0;19;10089955
75.36;3;78.83;1;23;1980;12.93;1;1;12;10706371
44.94;5;69.12;1;24;1981;3.07;1;1;7;10240214
49.34;5;51.92;0;23;1994;7.95;0;0;11;9244047
78.51;4;98.79;1;30;2015;22.02;1;1;21;11142931
96.88;1;46.69;1;17;1970;13.29;1;0;20;10078024
16.4;3;78.25;1;19;2007;7.42;0;0;21;6023057
72.23;4;57.6;1;12;2024;3.61;0;0;18;11886049
74.61;5;104.85;1;9;1978;13.14;0;1;23;11745371
33.25;4;56.25;0;4;1994;5.39;1;1;16;9183726
58.07;5;81.92;0;13;1980;2.14;1;1;13;11980242
59.01;4;33.68;1;1;2004;0.37;1;1;21;11854257
24.61;5;99.09;0;28;1991;15.07;0;1;11;6707736
66.69;5;73.29;1;10;1994;12.68;0;0;21;10317859
48.21;5;75.62;0;5;1998;8.33;1;0;8;9602977
75.06;3;73.94;0;12;1967;0.68;0;1;22;12328684
59.22;5;57.97;0;14;1959;7.1;0;0;10;10020918
39.06;1;54.17;0;13;2007;3.95;0;1;24;7591490
69.15;1;52.17;1;4;1966;7.04;1;0;17;8925136
55.69;5;42.03;0;8;2004;2.3;0;0;17;10569529
52.66;5;50.48;1;20;2009;2.57;1;1;22;11246524
39.2;1;69.83;1;23;2011;7.42;1;0;6;6649715
59.12;1;115.38;0;19;2013;2.37;1;0;18;8776534
40.59;5;72.42;1;28;1994;2.82;0;1;16;8907327
49.8;5;89.72;0;30;1956;9.97;0;0;19;8076420
50.6;1;80.87;1;23;1983;15.7;1;0;5;6738378
73.34;4;39.62;1;1;2002;3.48;0;0;3;11842563
63.9;4;88.77;0;28;1956;6.07;0;0;7;9176655
34.15;5;31.24;1;4;1973;13.63;1;1;27;8249808
65.13;1;53.42;0;11;2006;15.63;0;1;29;8508100
41.57;1;51.76;1;26;1958;7.26;0;1;11;6077668
58.51;2;75.15;1;9;1977;7.98;1;1;16;9075048
15.0;1;73.84;1;25;2014;7.59;1;1;27;5114954
69.28;4;61.82;0;28;1968;3.6;0;0;7;10872528
94.24;5;50.31;0;5;1993;12.25;1;0;20;13643882
60.55;2;22.23;1;12;1994;15.62;1;1;13;7831074
47.25;3;78.98;1;4;1989;11.47;0;1;3;8309416
74.06;3;71.63;1;3;1957;4.34;0;1;10;10861636
80.18;5;61.57;0;18;1973;14.87;0;1;20;12512789
53.72;5;96.06;1;5;1970;9.97;1;1;23;10133494
65.46;2;64.2;1;23;2007;8.75;1;1;23;10329518
26.82;4;41.02;1;9;1978;9.55;1;1;17;7811835
56.77;5;66.21;0;27;1966;4.53;1;1;5;10836990
68.22;3;52.7;1;6;2022;9.85;1;1;24;10354896
82.8;1;84.15;1;14;2016;4.04;1;0;12;11132049
60.64;4;77.24;0;2;1985;5.97;0;0;16;10136773
67.59;1;60.29;1;14;1955;6.6;1;1;23;9209585
78.73;4;63.02;1;16;2010;8.32;0;0;4;11710280
68.17;2;61.59;1;14;2010;17.58;1;1;19;9306265
85.22;3;67.94;0;7;1953;15.48;1;1;15;11127346
35.27;3;83.51;0;29;2007;10.03;0;0;22;5881126
58.24;5;50.25;1;4;1983;8.56;1;0;8;10488496
84.58;4;52.39;0;1;2011;15.94;0;1;2;11896702
91.34;5;44.17;1;20;1958;11.09;1;0;9;11828515
25.85;2;67.8;1;15;1995;15.21;1;0;22;4571227
76.6;1;102.45;0;13;1957;14.94;0;0;19;8285373
50.94;5;36.54;0;8;1996;11.59;0;1;8;10300120
59.32;1;28.42;1;4;1958;5.89;1;0;30;7280621
30.72;1;77.91;0;17;1951;2.21;1;1;13;6697374
24.77;1;64.81;0;4;1973;0.39;0;0;10;5435860
62.77;2;73.28;1;4;2018;5.4;0;0;6;9220672
85.71;4;35.71;1;16;1969;8.6;0;0;3;11431877
30.78;3;79.77;1;14;1994;4.16;1;1;2;7872607
70.05;5;22.75;0;20;2019;10.15;0;0;1;11675871
69.3;2;56.42;0;3;2001;4.53;0;1;26;10337714
58.87;5;30.82;0;8;1989;4.7;1;1;1;11463418
46.32;4;53.12;0;14;1975;10.56;1;1;5;9115233
34.92;4;43.56;0;9;1990;8.34;1;1;14;8792187
80.13;5;39.41;1;18;1988;7.26;1;0;3;11761384
50.3;2;56.92;1;6;1983;18.75;1;1;19;7085244
98.28;4;41.77;0;9;2024;10.38;1;1;25;14886333
48.21;4;48.36;0;6;1988;7.96;1;0;4;8795391
52.96;3;47.14;0;19;2020;6.03;1;1;27;9990254
47.95;5;43.89;1;9;1982;4.28;0;1;5;10804081
57.21;5;45.94;1;2;2012;8.78;0;0;3;9873533
62.61;4;25.84;0;9;1958;0.24;0;0;22;10557077
76.71;2;94.53;1;16;2010;6.86;0;1;1;11199314
46.8;5;38.2;1;22;2009;18.23;0;1;4;8787621
40.84;5;17.62;1;20;1983;11.14;1;1;1;8425190
60.73;1;78.48;1;27;2019;3.32;0;0;5;9590955
45.41;1;71.4;1;7;1995;5.81;1;0;30;6999806
57.03;2;36.8;1;10;2018;18.82;0;0;24;7653439
76.91;4;36.19;0;5;2013;8.65;0;0;18;11611657
53.9;4;86.82;1;24;2006;12.79;0;1;6;9567970
73.7;1;72.82;0;26;2015;0.67;1;0;28;10320082
77.38;2;42.62;0;27;2013;6.88;0;1;28;11263951
93.81;2;62.31;1;5;2000;12.14;1;1;25;12421594
60.97;1;61.25;1;8;2008;14.79;1;0;1;6755421
68.84;2;71.82;1;11;2016;10.28;0;0;17;9727427
53.2;3;95.83;0;5;2022;13.01;0;1;27;8576170
42.35;3;50.33;1;11;1993;14.75;1;0;26;6374728
38.14;3;46.55;1;23;1980;9.51;1;0;12;6707928
42.64;3;63.6;1;1;2021;7.86;1;0;3;8378828
89.29;3;88.51;0;29;1951;7.86;0;1;2;11852408
33.26;2;82.34;1;25;1959;10.54;1;1;30;5956738
38.51;2;79.13;1;2;1974;8.87;1;0;30;6460442
52.94;5;104.58;0;29;2006;7.9;1;1;25;11039859
31.35;1;85.88;1;20;2018;11.93;0;1;3;5761269
53.02;5;58.35;1;27;1953;11.04;0;0;14;8109840
72.16;5;64.39;0;28;2020;9.86;1;0;2;11400532
63.67;2;59.38;1;23;1983;6.3;0;1;21;9404307
27.99;3;53.6;0;6;1964;6.58;0;1;24;6500207
23.84;5;40.08;1;14;2007;3.31;1;0;22;8177422
59.69;4;47.32;1;7;1988;11.09;0;1;5;10505870
45.09;2;70.59;0;16;2012;0.77;1;1;13;9685781
52.7;3;52.11;0;7;1992;5.89;1;1;12;10194699
37.03;1;45.45;0;26;1953;2.24;1;0;7;6256668
46.27;4;24.27;1;25;2008;3.96;0;0;28;9563735
82.9;3;56.05;0;25;2012;2.32;1;1;21;12409946
24.9;4;86.11;0;15;1987;3.13;1;1;6;7684900
64.32;3;61.34;1;30;1959;16.34;0;1;3;8997963
44.86;4;44.74;0;17;1978;10.04;1;1;2;8989970
30.89;2;64.09;1;18;1991;14.92;1;1;15;5867042
32.49;4;36.55;1;21;1958;0.4;1;1;19;9580171
81.09;4;81.61;0;20;2023;6.62;1;1;17;13395598
70.01;3;13.42;1;2;1972;6.83;0;1;1;10970793
53.69;3;38.63;1;16;1987;14.61;1;1;18;9302769
60.68;3;66.9;0;27;1973;14.48;1;1;24;8855658
33.73;5;55.0;0;9;1971;11.28;0;1;2;7492145
66.93;2;63.13;0;19;2011;14.34;0;0;9;8154514
48.09;5;86.77;1;2;1995;4.72;1;1;24;11275363
26.73;3;62.55;0;9;2000;5.68;0;1;27;7160739
63.27;5;53.66;1;11;2012;5.69;1;1;6;12468939
98.48;5;48.46;0;9;2012;0.99;0;1;3;15941443
49.13;3;55.26;1;7;1963;1.87;0;0;27;7755083
67.63;5;64.63;1;12;1981;0.41;0;1;4;12884918
57.29;1;59.5;0;15;2010;5.66;1;1;19;8698637
66.07;3;115.4;0;8;1952;6.13;0;1;7;10706878
66.32;3;46.34;1;11;1982;6.45;1;1;4;11151871
47.08;2;46.99;0;17;2000;3.93;0;1;12;8870662
91.34;4;44.15;1;4;1971;10.13;1;1;1;13625006
31.09;3;86.71;0;2;1999;10.02;1;0;19;6303949
88.56;1;58.31;0;28;1967;8.83;0;0;21;9470995
81.46;2;42.42;1;26;1988;5.81;1;1;7;12256818
35.59;1;60.34;1;10;2007;6.42;1;1;18;7718046
72.64;5;75.43;1;14;1987;5.24;0;0;11;11924976
53.75;4;53.89;0;16;1966;8.08;0;1;23;9465402
53.87;2;42.42;0;7;2000;5.74;1;1;12;9825660
77.91;3;56.29;0;17;2019;11.41;0;1;3;10949636
57.61;2;62.8;0;5;2010;23.61;0;0;1;6824360
45.14;2;81.64;1;2;1996;4.18;0;1;29;8547002
50.92;1;68.01;0;29;1979;9.17;1;0;6;6453206
58.95;1;71.39;0;23;1999;10.73;1;0;30;7882124
28.35;3;61.28;0;13;1976;8.3;1;0;18;6317379
95.63;2;37.78;0;2;1965;9.81;0;0;26;11487336
56.59;3;96.83;1;26;1960;6.46;1;1;26;9448309
73.76;1;48.33;1;2;1966;12.36;0;0;11;8283271
39.21;3;40.44;1;12;2015;9.56;1;0;20;7779622
29.01;3;81.86;0;22;2019;11.68;0;1;13;6926426
105.03;1;64.1;0;24;2012;5.19;1;1;7;14133724
99.52;1;39.52;1;13;1996;9.02;0;0;24;11776376
80.39;3;63.29;1;17;1981;5.13;1;1;17;12498309
63.76;4;34.1;1;19;1979;13.6;0;0;10;9356971
25.94;4;64.18;0;14;2010;1.07;1;0;4;8023656
84.11;5;93.47;0;14;2015;3.79;0;0;30;13028527
81.53;2;82.98;0;8;1962;8.39;0;0;25;10137464
66.15;4;45.59;1;9;1968;9.39;0;0;4;9501725
97.8;3;55.6;0;26;2002;6.78;1;0;25;13218759
67.1;5;89.09;0;25;1972;4.14;1;1;19;12588935
108.75;1;47.34;1;19;1954;13.45;0;0;12;11120880
66.88;3;49.29;1;21;1970;6.33;0;1;10;10441995
84.52;5;45.52;0;22;1975;21.69;1;0;2;10916701
57.36;4;76.49;0;15;2005;13.66;0;1;4;9597647
60.44;4;63.06;0;17;1986;11.77;0;0;24;9848489
45.24;3;60.43;0;16;1996;10.56;1;0;7;7897449
63.43;3;78.02;1;8;1957;14.18;0;0;5;7847135
93.87;5;90.41;0;13;1996;10.26;1;1;5;13887409
51.65;1;75.42;1;20;1966;0.14;0;1;10;8150968
55.53;1;78.12;1;2;1982;4.75;1;0;19;8924837
62.37;3;71.07;1;26;2012;1.99;0;0;18;10202845
75.64;5;19.88;1;10;1963;2.87;0;0;2;11733019
43.3;4;72.72;0;6;2013;2.03;1;1;21;10572855
74.75;2;69.32;0;18;1997;6.16;0;1;17;10874581
70.34;4;36.7;1;20;1972;13.63;1;1;3;11055998
60.03;1;59.95;0;14;2010;10.25;0;1;16;8766532
